parameter,indices,sensitivity_score,layer_group
model.embed_tokens.weight,"(128000, 3303)",0.144134521484375,model.embed_tokens.weight
model.embed_tokens.weight,"(27541, 162)",0.023800300434231758,model.embed_tokens.weight
model.embed_tokens.weight,"(128000, 2871)",0.023527774959802628,model.embed_tokens.weight
model.embed_tokens.weight,"(791, 2650)",0.022684019058942795,model.embed_tokens.weight
model.embed_tokens.weight,"(531, 2871)",0.0185405183583498,model.embed_tokens.weight
model.embed_tokens.weight,"(531, 2650)",0.017684048041701317,model.embed_tokens.weight
model.embed_tokens.weight,"(27541, 2650)",0.015342115424573421,model.embed_tokens.weight
model.embed_tokens.weight,"(7697, 162)",0.015277210623025894,model.embed_tokens.weight
model.embed_tokens.weight,"(47, 2650)",0.015258519910275936,model.embed_tokens.weight
model.embed_tokens.weight,"(791, 3303)",0.015175709500908852,model.embed_tokens.weight
model.embed_tokens.weight,"(531, 607)",0.015175295993685722,model.embed_tokens.weight
model.embed_tokens.weight,"(531, 3114)",0.015061374753713608,model.embed_tokens.weight
model.embed_tokens.weight,"(7697, 2877)",0.014146501198410988,model.embed_tokens.weight
model.embed_tokens.weight,"(531, 133)",0.01380645390599966,model.embed_tokens.weight
model.embed_tokens.weight,"(7697, 212)",0.013666171580553055,model.embed_tokens.weight
model.embed_tokens.weight,"(782, 2871)",0.01340248342603445,model.embed_tokens.weight
model.embed_tokens.weight,"(27541, 1406)",0.013015620410442352,model.embed_tokens.weight
model.embed_tokens.weight,"(7697, 648)",0.013012107461690903,model.embed_tokens.weight
model.embed_tokens.weight,"(128000, 805)",0.012938573025166988,model.embed_tokens.weight
model.embed_tokens.weight,"(791, 3008)",0.012882646173238754,model.embed_tokens.weight
model.embed_tokens.weight,"(27541, 3585)",0.012643854133784771,model.embed_tokens.weight
model.embed_tokens.weight,"(782, 3167)",0.012496983632445335,model.embed_tokens.weight
model.embed_tokens.weight,"(7697, 1163)",0.011767150834202766,model.embed_tokens.weight
model.embed_tokens.weight,"(315, 2871)",0.011709638871252537,model.embed_tokens.weight
model.embed_tokens.weight,"(531, 3672)",0.011707469820976257,model.embed_tokens.weight
model.embed_tokens.weight,"(65916, 3117)",0.011657943949103355,model.embed_tokens.weight
model.embed_tokens.weight,"(315, 3303)",0.01131526567041874,model.embed_tokens.weight
model.embed_tokens.weight,"(531, 3231)",0.011147674173116684,model.embed_tokens.weight
model.embed_tokens.weight,"(7697, 565)",0.010942131280899048,model.embed_tokens.weight
model.embed_tokens.weight,"(47, 2871)",0.010816901922225952,model.embed_tokens.weight
model.embed_tokens.weight,"(315, 2650)",0.010225635021924973,model.embed_tokens.weight
model.embed_tokens.weight,"(65916, 3960)",0.010175269097089767,model.embed_tokens.weight
model.embed_tokens.weight,"(531, 4028)",0.009956616908311844,model.embed_tokens.weight
model.embed_tokens.weight,"(791, 2871)",0.009848885238170624,model.embed_tokens.weight
model.embed_tokens.weight,"(7697, 103)",0.009804829023778439,model.embed_tokens.weight
model.embed_tokens.weight,"(47, 565)",0.009694046340882778,model.embed_tokens.weight
model.embed_tokens.weight,"(531, 3703)",0.009576269425451756,model.embed_tokens.weight
model.embed_tokens.weight,"(531, 2304)",0.009537512436509132,model.embed_tokens.weight
